x,y,cog,sog
12.09689667,54.16438,7.599999905,4.400000095
12.09716667,54.16614833,3.900000095,6.199999809
12.09743167,54.168015,4.800000191,7.099999905
12.097615,54.17012667,1.100000024,7.800000191
12.09742167,54.17236333,353.6000061,8.199999809
12.09671833,54.17459833,348.1000061,8.300000191
12.09566667,54.17680333,342.0,8.5
12.09450167,54.17888167,342.0,7.199999809
12.09347667,54.18074333,342.2000122,6.599999905
12.09249667,54.18249667,342.5,6.699999809
12.09155667,54.18429,342.7000122,7.0
12.09048667,54.18625667,341.3999939,7.599999905
12.0893,54.188375,343.6000061,8.300000191
12.08814167,54.19068667,343.0,8.800000191
12.08674667,54.19302833,340.8999939,8.899999619
12.085545,54.19503833,339.8999939,9.0
12.08383833,54.19783333,340.1000061,9.199999809
12.08239333,54.20020833,340.7000122,9.300000191
12.081155,54.202295,340.7999878,9.300000191
12.07952,54.20511333,342.0,9.399999619
12.07822,54.20759167,342.7000122,9.300000191
12.07697,54.21006167,343.7000122,9.300000191
12.07565,54.21248167,342.2000122,9.300000191
12.07430167,54.21493667,341.6000061,9.300000191
12.07293167,54.21739833,342.1000061,9.300000191
12.07142,54.21987,339.1000061,9.199999809
12.06985167,54.222285,339.2999878,9.300000191
12.06845,54.22471333,342.8999939,9.399999619
12.06720833,54.227165,342.1000061,9.199999809
12.06580667,54.22962,340.3999939,9.100000381
12.06434167,54.23202,340.2999878,9.199999809
12.06299833,54.23438833,341.8999939,9.100000381
12.061405,54.23720333,341.8999939,9.100000381
12.06027,54.23925667,342.3999939,9.100000381
12.05867333,54.24203,341.7000122,9.199999809
12.05729333,54.24446667,342.1000061,9.199999809
12.05558,54.24676,333.0,8.800000191
12.053245,54.24872833,317.7000122,8.399999619
12.05052333,54.24992,301.8999939,8.300000191
12.046955,54.25043667,272.5,7.900000095
12.0431,54.250245,263.1000061,8.399999619
12.03833167,54.25,266.3999939,8.699999809
12.03417667,54.24985833,266.7999878,8.800000191
12.03069667,54.24973667,266.7000122,8.800000191
12.02647833,54.24959667,267.2000122,8.899999619
12.02226,54.24945667,266.7000122,8.800000191
12.01806833,54.249305,266.6000061,8.800000191
12.01386333,54.24916333,266.5,8.800000191
12.00969833,54.24902167,266.8999939,8.899999619
